Account_Debit_BSI_ID;ATM_Card_ID;ATM_Machine_ID;ATM_Trx_ID;ATM_Trx_Code;ATM_Trx_Type;ATM_Trx_Amount;ATM_Trx_Datetime;ATM_Account_Debit_BSI_ID_Receiver;ATM_Account_NonBSI_ID_Receiver;Mobile_App_ID;Mobile_Location_ID;Mobile_App_Trx_ID;Mobile_App_Trx_Code;Mobile_App_Trx_Type;Mobile_App_Trx_Amount;Mobile_App_Trx_Datetime;Mobile_App_Account_Debit_BSI_ID_Receiver;Mobile_App_Account_NonBSI_ID_Receiver;IBank_ID;IBank_IP_Address;IBank_Trx_ID;IBank_Trx_Code;IBank_Trx_Type;IBank_Trx_Amount;IBank_Trx_Datetime;IBank_Account_Debit_BSI_ID_Receiver;IBank_Account_NonBSI_ID_Receiver;Account_NonBSI_ID;H2H_ATM_Card_ID;H2H_Branch_ID;H2H_Mobile_Location_ID;H2H_IBank_IP_Address;H2H_Trx_ID;H2H_Trx_Code;H2H_Trx_Type;H2H_Trx_Amount;H2H_Trx_Datetime;H2H_Account_Debit_BSI_ID_Receiver;H2H_Account_NonBSI_ID_Receiver
DCA111111;23423423411;ATM246811;;;;;;;;24242411;MLOC147151;;;;;;;;222211;172.16.16.130;;;;;;;;NBSI111111;56756756711;;;;1002246811;1002;different Bank Locally;25000000;2022-12-13 02:04:06;DCA111115;
DCA111112;23423423412;ATM246812;;;;;;;;24242412;MLOC147152;;;;;;;;222212;172.16.16.131;;;;;;;;NBSI111112;;;;;;;;;;;
DCA111113;23423423413;ATM246813;;;;;;;;24242413;MLOC147153;;;;;;;;222213;172.16.16.132;;;;;;;;NBSI111113;;;;;;;;;;;
DCA111114;23423423414;ATM246814;;;;;;;;24242414;MLOC147154;;;;;;;;222214;172.16.16.133;;;;;;;;NBSI111114;56756756714;;;;1002246814;1002;different Bank Locally;50000000;2022-12-13 04:23:58;DCA111111;
DCA111115;23423423415;ATM246815;;;;;;;;24242415;MLOC147155;;;;;;;;222215;172.16.16.134;;;;;;;;NBSI111115;;;MLOC148115;;1002246815;1002;different Bank Locally;27000000;2022-12-13 06:28:11;DCA111119;
DCA111116;23423423416;ATM246816;100123466;1001;within Same Bank;50000000;2022-12-16 08:15:55;;NBSI111114;24242416;MLOC147157;100136916;1001;within Same Bank;60000000;2022-12-16 08:35:25;;NBSI111114;222216;172.16.16.137;200178916;2001;Payment for Insurance;75000000;2022-12-16 08:45:12;;NBSI111114;;;;;;;;;;;;
DCA111117;23423423417;ATM246817;100223467;1002;different Bank Locally;55000000;2022-12-16 08:25:35;;NBSI111114;24242417;MLOC147157;100236917;1002;different Bank Locally;65000000;2022-12-16 08:32:17;;NBSI111114;222217;172.16.16.136;;;;;;;;;;;;;;;;;;;
DCA111118;23423423418;ATM246818;;;;;;;;24242418;MLOC147158;100336918;1003;different Bank Overseas;35000000;2022-12-16 08:11:45;;NBSI111114;222218;172.16.16.137;100278918;1002;different Bank Locally;70000000;2022-12-16 08:33:58;;NBSI111114;;;;;;;;;;;;
DCA111119;23423423419;ATM246819;;;;;;;;24242419;MLOC147159;;;;;;;;222219;172.16.16.138;;;;;;;;NBSI111119;56756756719;;;;1002246819;1002;different Bank Locally;17000000;2022-12-13 08:19:31;DCA111120;
DCA111120;23423423420;ATM246820;;;;;;;;24242420;MLOC147160;;;;;;;;222220;172.16.16.139;;;;;;;;NBSI111120;56756756720;;;;1002246820;1002;different Bank Locally;68000000;2022-12-13 10:41:59;DCA111113;
