Account_Debit_BSI_ID;ATM_Card_ID;ATM_Machine_ID;ATM_Trx_ID;ATM_Trx_Code;ATM_Trx_Type;ATM_Trx_Amount;ATM_Trx_Datetime;ATM_Account_Debit_BSI_ID_Receiver;ATM_Account_NonBSI_ID_Receiver;Mobile_App_ID;Mobile_Location_ID;Mobile_App_Trx_ID;Mobile_App_Trx_Code;Mobile_App_Trx_Type;Mobile_App_Trx_Amount;Mobile_App_Trx_Datetime;Mobile_App_Account_Debit_BSI_ID_Receiver;Mobile_App_Account_NonBSI_ID_Receiver;IBank_ID;IBank_IP_Address;IBank_Trx_ID;IBank_Trx_Code;IBank_Trx_Type;IBank_Trx_Amount;IBank_Trx_Datetime;IBank_Account_Debit_BSI_ID_Receiver;IBank_Account_NonBSI_ID_Receiver;Account_NonBSI_ID;H2H_ATM_Card_ID;H2H_Branch_ID;H2H_Mobile_Location_ID;H2H_IBank_IP_Address;H2H_Trx_ID;H2H_Trx_Code;H2H_Trx_Type;H2H_Trx_Amount;H2H_Trx_Datetime;H2H_Account_Debit_BSI_ID_Receiver;H2H_Account_NonBSI_ID_Receiver
DCA111101;23423423401;ATM246801;100123451;1001;within Same Bank;10000000;2022-12-15 08:00:11;DCA111110;;24242401;MLOC147141;100136901;1001;within Same Bank;25000000;2022-12-15 08:03:17;DCA111110;;222201;172.16.16.120;200178901;2001;Payment for Insurance;10000000;2022-12-15 08:15:27;DCA111110;;NBSI111101;56756756701;;;;1002246801;1002;different Bank Locally;60000000;2022-12-15 08:18:03;DCA111110;
DCA111102;23423423402;ATM246802;100223452;1002;different Bank Locally;15000000;2022-12-14 01:10:12;DCA111106;;24242402;MLOC147142;100236902;1002;different Bank Locally;27000000;2022-12-14 03:20:17;DCA111106;;222202;172.16.16.121;100378902;1003;different Bank Overseas;20000000;2022-12-14 05:55:10;DCA111106;;NBSI111102;;;;;;;;;;;
DCA111103;23423423403;ATM246803;100123453;1001;within Same Bank;20000000;2022-12-14 09:00:03;DCA111105;;24242403;MLOC147143;100336903;1003;different Bank Overseas;29000000;2022-12-14 07:38:44;DCA111105;;222203;172.16.16.122;100278903;1002;different Bank Locally;30000000;2022-12-14 11:30:43;DCA111105;;NBSI111103;;;;;;;;;;;
DCA111104;23423423404;ATM246804;100223454;1002;different Bank Locally;25000000;2022-12-14 17:42:18;DCA111102;;24242404;MLOC147144;100136904;1001;within Same Bank;20000000;2022-12-14 15:22:04;DCA111102;;222204;172.16.16.123;100178904;1001;within Same Bank;40000000;2022-12-14 13:17:06;DCA111102;;NBSI111104;;;;;;;;;;;
DCA111105;23423423405;ATM246805;100123455;1001;within Same Bank;30000000;2022-12-15 09:05:12;DCA111110;;24242405;MLOC147145;100236905;1002;different Bank Locally;25000000;2022-12-15 09:20:47;DCA111110;;222205;172.16.16.124;200178905;2001;Payment for Insurance;50000000;2022-12-15 09:32:56;DCA111110;;NBSI111105;56756756712;;;;1002246805;1002;different Bank Locally;100000000;2022-12-15 09:45:56;DCA111110;
DCA111106;23423423406;ATM246806;100223456;1002;different Bank Locally;35000000;2022-12-14 19:33:42;DCA111101;;24242406;MLOC147146;100336906;1003;different Bank Overseas;27000000;2022-12-14 21:11:11;DCA111101;;222206;172.16.16.125;100378906;1003;different Bank Overseas;10000000;2022-12-14 23:00:15;DCA111101;;NBSI111106;;;;;;;;;;;
DCA111107;23423423407;ATM246807;100123457;1001;within Same Bank;40000000;2022-12-13 01:01:23;DCA111108;;24242407;MLOC147147;100136907;1001;within Same Bank;29000000;2022-12-13 03:41:28;DCA111108;;222207;172.16.16.126;100278907;1002;different Bank Locally;20000000;2022-12-13 05:36:41;DCA111108;;NBSI111107;;;;;;;;;;;
DCA111108;23423423408;ATM246808;100223458;1002;different Bank Locally;45000000;2022-12-15 11:31:12;DCA111103;;24242408;MLOC147148;100236908;1002;different Bank Locally;20000000;2022-12-15 11:35:52;DCA111103;;222208;172.16.16.127;100178908;1001;within Same Bank;75000000;2022-12-15 11:32:48;DCA111103;;NBSI111108;;;;;;;;;;;
DCA111109;23423423409;ATM246809;100423459;1004;withdrawal Money;55000000;2022-12-15 10:32:08;DCA111103;;24242409;MLOC147149;100336909;1003;different Bank Overseas;25000000;2022-12-15 10:00:02;DCA111103;;222209;172.16.16.128;200178909;2001;Payment for Insurance;100000000;2022-12-15 10:03:12;DCA111103;;NBSI111109;;;MLOC148113;;1002246809;1002;different Bank Locally;50000000;2022-12-15 10:12:15;DCA111103;
DCA111110;23423423410;ATM246810;;;;;;;;24242410;MLOC147150;;;;;;;;222210;172.16.16.129;;;;;;DCA111103;;NBSI111110;;;;;;;;;;;
